what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1265295523098
error,log,,,"Error logged from Debug Core: ",1265295526900
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265295529748
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265295538083
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265295541423
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265295604421
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265295604503
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1265295640899
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1265295642176
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265295651380
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1265295655324
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265295657999
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265295666456
started,bundle,org.eclipse.cdt.dsf,2.0.0.200909110608,"org.eclipse.cdt.dsf",1265295666898
started,bundle,org.eclipse.cdt.dsf.gdb,2.0.0.200909110608,"org.eclipse.cdt.dsf.gdb",1265295666951
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200909110608,"org.eclipse.cdt.dsf.gdb.ui",1265295668879
started,bundle,org.eclipse.cdt.dsf.ui,2.0.1.200909110608,"org.eclipse.cdt.dsf.ui",1265295669132
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265295671577
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1265295674698
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.VariableView",1265295675239
activated,perspective,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugPerspective",1265295675595
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265295675679
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.BreakpointView",1265295677177
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.MemoryView",1265295677424
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.RegisterView",1265295677486
