what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288393654
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288397902
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265288409938
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265288414216
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288416958
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288418797
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288454688
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288464499
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265288467060
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1265288468349
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265288497777
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288511107
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288512903
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265288527285
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265288531538
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288534229
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288535380
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265288536306
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265288537364
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265288542226
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265288543181
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288548125
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288615847
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265288620628
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265288622082
