what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265288155119
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288157394
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288158549
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265288165620
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288167914
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288169063
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288181292
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288282626
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265288286102
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288291899
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288293106
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265288303624
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288308648
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288309720
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265288328560
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288332205
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288333304
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265288346139
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1265288353257
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265288354903
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288357334
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265288358467
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265288359881
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265288361505
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265288390904
