what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265283179707
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265283180801
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265283190167
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265283191174
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265283196716
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265283198814
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265283200546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265283201870
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265283223511
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1265283227372
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1265283229104
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1265283234288
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1265283237365
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265283255344
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265283259243
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265283260494
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265283267584
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265283273451
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265283276191
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265283277585
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265283278946
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265283308129
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265283309737
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265283311096
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265283320136
