what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265293000243
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1265293020976
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265293034405
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265293037561
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265293050758
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265293052500
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265293064570
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1265293065641
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265293076326
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265293076827
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265293091624
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265293120094
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265293128945
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265293131634
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265293132951
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265293166210
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265293168810
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265293169957
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265293252121
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265293284432
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265293299637
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265293424438
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1265293457240
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1265293460008
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265293468787
