what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265260447130
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265260477622
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265260582359
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265260584900
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265260604929
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265260606508
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265260617384
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265260686213
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265260713471
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1265260728605
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265260739705
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265260846068
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265260856251
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265260867407
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265260909215
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265260912410
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265260913854
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265260930954
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265260933670
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265260934812
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265260941369
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265260948973
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265260951850
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265260955284
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265260959174
