what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265275782641
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265275783060
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265275823133
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265275829033
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265275833052
error,log,,,"Error logged from Debug Core: ",1265275838352
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265275839551
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265275943794
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265275946755
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265275952169
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1265275958013
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1265275960060
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1265275979102
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265275989482
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265275991969
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265275993532
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265275996373
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265276009377
error,log,,,"Error logged from Debug Core: ",1265276014965
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265276015058
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265276024509
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265276084613
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1265276085784
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1265276086676
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265276093706
