what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265287277621
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265287426603
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265287431885
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265287434570
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265287435759
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265287451871
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265287725710
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265287750831
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265287757279
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265287762805
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265287764074
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1265287788870
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265287828088
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265287831945
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265287834158
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265287894185
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265287897319
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265287898316
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265287909723
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265287914173
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265287915407
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265287936706
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265287964022
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265287967532
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265287968664
