what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265274998709
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265274999848
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265275028635
error,log,,,"Error logged from Debug Core: ",1265275035272
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265275037270
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265275071152
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265275076562
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265275109389
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265275119990
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265275126098
error,log,,,"Error logged from Debug Core: ",1265275131838
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265275137139
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265275152857
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1265275152896
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265275162905
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265275207062
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265275210516
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265275211802
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265275221759
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1265275257556
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1265275286653
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265275287721
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265275317021
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265275317170
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265275331934
