what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265289967036
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265289968584
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265289980909
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265289985374
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1265289985400
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1265289990187
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265289991773
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265289995727
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265289996634
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265290104068
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265290105343
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265290109400
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265290128821
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265290130409
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265290136295
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265290137935
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265290140291
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265290165887
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265290173495
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265290178756
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265290180765
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265290190180
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265290241105
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265290281671
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265290285184
